epoch,accuracy,val_accuracy,loss,val_loss
1,0.19687500596046448,0.22083333134651184,1.389723300933838,1.3887017965316772
2,0.2874999940395355,0.22083333134651184,1.3862874507904053,1.388013243675232
3,0.24687500298023224,0.22083333134651184,1.3875197172164917,1.3871464729309082
4,0.24687500298023224,0.22083333134651184,1.386515736579895,1.3861252069473267
5,0.3187499940395355,0.22083333134651184,1.385441541671753,1.3883484601974487
6,0.21875,0.22083333134651184,1.3875070810317993,1.3902792930603027
7,0.30937498807907104,0.21250000596046448,1.3826572895050049,1.3944088220596313
8,0.2593750059604645,0.21250000596046448,1.3864555358886719,1.3978480100631714
9,0.24375000596046448,0.21250000596046448,1.3895992040634155,1.3934557437896729
10,0.26249998807907104,0.21250000596046448,1.3857975006103516,1.3911117315292358
11,0.26875001192092896,0.21250000596046448,1.386468768119812,1.3889323472976685
12,0.20624999701976776,0.21250000596046448,1.3885493278503418,1.3870673179626465
13,0.24375000596046448,0.21250000596046448,1.386535406112671,1.3860604763031006
14,0.25312501192092896,0.32083332538604736,1.3865668773651123,1.3856457471847534
15,0.2562499940395355,0.32083332538604736,1.3864099979400635,1.385008692741394
16,0.24062499403953552,0.24583333730697632,1.3862354755401611,1.3856245279312134
17,0.23125000298023224,0.24583333730697632,1.3865292072296143,1.386203646659851
18,0.21875,0.24583333730697632,1.3868465423583984,1.3863396644592285
19,0.29374998807907104,0.24583333730697632,1.3872582912445068,1.3859069347381592
20,0.25,0.24583333730697632,1.3865896463394165,1.385414958000183
21,0.24062499403953552,0.32083332538604736,1.3860137462615967,1.3849868774414062
22,0.21562500298023224,0.24583333730697632,1.3867892026901245,1.3853734731674194
23,0.2593750059604645,0.24583333730697632,1.3861404657363892,1.385751485824585
24,0.22499999403953552,0.24583333730697632,1.387131929397583,1.3858678340911865
25,0.25312501192092896,0.24583333730697632,1.3863983154296875,1.3862998485565186
26,0.24062499403953552,0.24583333730697632,1.38661789894104,1.3864539861679077
27,0.21250000596046448,0.24583333730697632,1.3869092464447021,1.3864970207214355
28,0.23749999701976776,0.21250000596046448,1.3864710330963135,1.386165976524353
29,0.23125000298023224,0.21250000596046448,1.3863639831542969,1.3865177631378174
30,0.30000001192092896,0.24583333730697632,1.385862112045288,1.3867548704147339
31,0.25312501192092896,0.24583333730697632,1.386470913887024,1.3866702318191528
32,0.21562500298023224,0.24583333730697632,1.387118935585022,1.3859220743179321
33,0.21250000596046448,0.32083332538604736,1.386586308479309,1.3854851722717285
34,0.21875,0.32083332538604736,1.3868935108184814,1.3858433961868286
35,0.28125,0.24583333730697632,1.3862088918685913,1.3862444162368774
36,0.27812498807907104,0.24583333730697632,1.3862977027893066,1.3865375518798828
37,0.25,0.24583333730697632,1.3863801956176758,1.3866711854934692
38,0.21562500298023224,0.24583333730697632,1.3869922161102295,1.386557936668396
39,0.20000000298023224,0.24583333730697632,1.3870608806610107,1.3864954710006714
40,0.20624999701976776,0.22083333134651184,1.3865511417388916,1.3864165544509888
41,0.2906250059604645,0.22083333134651184,1.38605797290802,1.3865432739257812
42,0.23749999701976776,0.22083333134651184,1.3865231275558472,1.3869646787643433
43,0.203125,0.22083333134651184,1.3867337703704834,1.3872078657150269
44,0.20000000298023224,0.21250000596046448,1.3870642185211182,1.3869264125823975
45,0.24375000596046448,0.21250000596046448,1.3860461711883545,1.386911153793335
46,0.234375,0.21250000596046448,1.3861843347549438,1.387214183807373
47,0.26249998807907104,0.24583333730697632,1.3867493867874146,1.3872864246368408
48,0.2593750059604645,0.24583333730697632,1.3859506845474243,1.3871232271194458
49,0.2718749940395355,0.24583333730697632,1.3862674236297607,1.386910319328308
50,0.265625,0.24583333730697632,1.386068344116211,1.3866286277770996
51,0.24062499403953552,0.24583333730697632,1.3868528604507446,1.3864555358886719
52,0.24062499403953552,0.24583333730697632,1.3864953517913818,1.3865829706192017
53,0.2593750059604645,0.24583333730697632,1.3861982822418213,1.3866260051727295
54,0.23125000298023224,0.24583333730697632,1.3866430521011353,1.3869823217391968
55,0.25,0.24583333730697632,1.3868688344955444,1.386829137802124
56,0.2874999940395355,0.24583333730697632,1.3858925104141235,1.3863166570663452
57,0.25312501192092896,0.24583333730697632,1.3864233493804932,1.3859808444976807
58,0.21875,0.24583333730697632,1.3872244358062744,1.3862658739089966
59,0.22187499701976776,0.24583333730697632,1.386713981628418,1.3866316080093384
60,0.22499999403953552,0.21250000596046448,1.3861124515533447,1.3873482942581177
61,0.24062499403953552,0.21250000596046448,1.3863258361816406,1.387614369392395
62,0.23749999701976776,0.21250000596046448,1.3863095045089722,1.3876338005065918
63,0.21250000596046448,0.21250000596046448,1.3874056339263916,1.3870995044708252
64,0.25312501192092896,0.21250000596046448,1.3861653804779053,1.387278437614441
